num__total_orders,num__total_spent,num__successful_payments,num__average_order_amount,will_reorder,cat__city_Abu Dhabi,cat__city_Ajman,cat__city_Dubai,cat__city_Sharjah
7,4739.61,5,677.09,1,False,False,False,True
20,1719.83,0,85.99,0,False,False,False,True
29,3638.66,9,125.47,1,False,True,False,False
15,2717.12,28,181.14,1,True,False,False,False
11,350.11,13,31.83,0,True,False,False,False
8,3465.5,21,433.19,1,True,False,False,False
29,3465.98,24,119.52,1,False,True,False,False
21,4656.5,28,221.74,1,False,True,False,False
7,2511.7,17,358.81,1,False,True,False,False
26,1189.74,5,45.76,1,False,True,False,False
19,270.59,17,14.24,0,False,True,False,False
23,2107.43,19,91.63,1,True,False,False,False
11,1544.49,15,140.41,1,False,False,True,False
11,3817.39,14,347.04,1,False,True,False,False
24,1803.63,15,75.15,1,False,False,True,False
21,4747.9,7,226.09,1,False,False,False,True
4,4813.44,12,1203.36,0,False,False,False,True
8,3123.5,22,390.44,1,False,True,False,False
24,4646.87,10,193.62,1,False,False,False,True
3,3816.23,27,1272.08,0,False,False,True,False
22,2756.96,28,125.32,1,False,False,False,True
21,942.52,24,44.88,1,False,False,False,True
2,2320.06,6,1160.03,0,False,False,True,False
24,2826.33,16,117.76,1,False,False,False,True
12,4326.61,17,360.55,1,False,True,False,False
6,2432.6,21,405.43,1,False,False,True,False
2,4493.49,22,2246.74,0,False,False,True,False
28,3388.03,18,121.0,1,True,False,False,False
21,728.15,24,34.67,1,True,False,False,False
1,4975.16,12,4975.16,0,False,False,True,False
12,2659.8,14,221.65,1,False,False,True,False
26,1989.7,22,76.53,1,True,False,False,False
22,3312.61,29,150.57,1,False,True,False,False
29,589.02,21,20.31,1,False,False,False,True
12,3200.87,28,266.74,1,False,False,False,True
25,2516.27,21,100.65,1,False,False,False,True
17,2063.04,0,121.36,0,False,False,True,False
27,4767.45,28,176.57,1,False,True,False,False
27,2636.57,15,97.65,1,True,False,False,False
10,1134.63,4,113.46,1,False,True,False,False
28,2321.87,25,82.92,1,False,True,False,False
28,4600.97,2,164.32,0,False,False,False,True
16,921.67,22,57.6,1,True,False,False,False
15,1109.09,9,73.94,1,False,True,False,False
15,114.5,18,7.63,0,True,False,False,False
19,120.24,4,6.33,0,False,False,True,False
12,4155.49,6,346.29,1,False,False,False,True
23,3674.01,13,159.74,1,True,False,False,False
20,1807.45,2,90.37,0,False,False,True,False
25,3506.64,12,140.27,1,False,False,True,False
3,2006.27,12,668.76,0,False,False,True,False
5,4766.84,9,953.37,1,False,True,False,False
19,4836.91,1,254.57,0,False,True,False,False
7,1994.33,5,284.9,1,False,False,False,True
21,4278.4,7,203.73,1,False,False,False,True
9,3876.79,3,430.75,0,False,False,True,False
7,1584.5,24,226.36,1,False,False,False,True
18,1198.6,11,66.59,1,False,True,False,False
4,2318.26,27,579.57,0,False,False,False,True
25,3917.68,14,156.71,1,True,False,False,False
28,4802.83,7,171.53,1,False,True,False,False
14,3829.72,6,273.55,1,False,False,True,False
18,4283.27,13,237.96,1,False,False,True,False
26,3035.17,22,116.74,1,False,False,False,True
9,4185.27,18,465.03,1,False,True,False,False
26,3932.88,13,151.26,1,False,False,True,False
21,1916.08,21,91.24,1,False,False,True,False
2,2782.35,12,1391.18,0,False,True,False,False
20,4033.53,28,201.68,1,False,True,False,False
28,277.98,20,9.93,0,False,False,True,False
