order_item_id,order_id,product_id,quantity,unit_price,total_price
1,1,27,5,216.77,1083.85
2,1,29,4,345.84,1383.36
3,2,5,2,260.38,520.76
4,2,29,3,345.84,1037.52
5,2,21,3,463.23,1389.69
6,2,15,1,316.02,316.02
7,3,3,3,573.02,1719.06
8,3,14,5,542.46,2712.3
9,4,18,1,480.18,480.18
10,4,3,4,573.02,2292.08
11,4,30,1,681.36,681.36
12,5,30,4,681.36,2725.44
13,5,19,2,348.58,697.16
14,5,2,5,40.62,203.1
15,6,29,3,345.84,1037.52
16,6,6,2,345.48,690.96
17,6,16,5,636.02,3180.1
18,6,17,5,537.1,2685.5
19,7,1,5,786.16,3930.8
20,7,9,2,713.41,1426.82
21,8,27,5,216.77,1083.85
22,8,7,5,142.54,712.7
23,8,25,3,888.54,2665.62
24,8,16,1,636.02,636.02
25,9,26,4,204.29,817.16
26,9,13,4,616.88,2467.52
27,9,30,1,681.36,681.36
28,9,18,3,480.18,1440.54
29,10,10,2,773.45,1546.9
30,10,17,5,537.1,2685.5
31,10,1,2,786.16,1572.32
32,11,21,3,463.23,1389.69
33,11,27,3,216.77,650.31
34,11,30,2,681.36,1362.72
35,11,14,1,542.46,542.46
36,12,14,1,542.46,542.46
37,12,30,1,681.36,681.36
38,12,11,5,725.21,3626.05
39,12,4,5,26.58,132.9
40,13,16,2,636.02,1272.04
41,14,3,4,573.02,2292.08
42,15,2,2,40.62,81.24
43,15,15,2,316.02,632.04
44,15,23,5,659.3,3296.5
45,16,2,5,40.62,203.1
46,16,1,2,786.16,1572.32
47,16,6,3,345.48,1036.44
48,16,21,2,463.23,926.46
49,17,25,2,888.54,1777.08
50,18,4,3,26.58,79.74
51,18,30,2,681.36,1362.72
52,18,25,2,888.54,1777.08
53,19,10,2,773.45,1546.9
54,19,25,5,888.54,4442.7
55,19,30,3,681.36,2044.08
56,19,26,3,204.29,612.87
57,20,27,2,216.77,433.54
58,20,14,4,542.46,2169.84
59,20,1,4,786.16,3144.64
60,20,20,5,726.01,3630.05
61,21,7,5,142.54,712.7
62,21,26,2,204.29,408.58
63,22,25,4,888.54,3554.16
64,22,23,5,659.3,3296.5
65,22,18,4,480.18,1920.72
66,23,14,5,542.46,2712.3
67,23,8,5,559.25,2796.25
68,24,6,3,345.48,1036.44
69,25,19,1,348.58,348.58
70,25,29,1,345.84,345.84
71,25,14,3,542.46,1627.38
72,25,21,1,463.23,463.23
73,26,3,4,573.02,2292.08
74,26,19,4,348.58,1394.32
75,27,18,2,480.18,960.36
76,27,17,4,537.1,2148.4
77,27,17,2,537.1,1074.2
78,28,18,5,480.18,2400.9
79,28,25,1,888.54,888.54
80,28,6,3,345.48,1036.44
81,28,21,4,463.23,1852.92
82,29,28,1,686.09,686.09
83,29,18,2,480.18,960.36
84,30,21,5,463.23,2316.15
85,30,2,1,40.62,40.62
86,30,12,4,177.09,708.36
87,30,25,4,888.54,3554.16
88,31,8,3,559.25,1677.75
89,31,5,4,260.38,1041.52
90,31,27,2,216.77,433.54
91,31,28,3,686.09,2058.27
92,32,16,5,636.02,3180.1
93,33,23,5,659.3,3296.5
94,33,4,3,26.58,79.74
95,33,4,5,26.58,132.9
96,33,4,2,26.58,53.16
97,34,2,5,40.62,203.1
98,35,9,5,713.41,3567.05
99,36,22,4,844.89,3379.56
100,36,25,5,888.54,4442.7
101,37,2,2,40.62,81.24
102,38,21,5,463.23,2316.15
103,38,21,3,463.23,1389.69
104,38,19,3,348.58,1045.74
105,39,14,3,542.46,1627.38
106,39,10,3,773.45,2320.35
107,39,25,4,888.54,3554.16
108,40,15,1,316.02,316.02
109,40,9,2,713.41,1426.82
110,40,7,4,142.54,570.16
111,40,9,5,713.41,3567.05
